model,n_runs,reward_mean,reward_median,reward_std,reward_ci95_low,reward_ci95_high,sharpe_mean,sharpe_median,sharpe_std,sharpe_ci95_low,sharpe_ci95_high,reward_bootstrap_mean,reward_bootstrap_ci95_low,reward_bootstrap_ci95_high,sharpe_bootstrap_mean,sharpe_bootstrap_ci95_low,sharpe_bootstrap_ci95_high
ppo_baseline,6,-10589.449165403528,38452.999799709025,87304.27696312555,-131859.83576934435,61638.48847342475,-27.898891772696995,13.920913823710784,61.85909952041341,-115.29996603678308,20.503474198434226,-10589.449165403528,-75088.8905796599,53909.99224885285,-27.898891772696995,-72.22633941661846,16.428555871224475
ppo_bayeslvr_gated,6,58297.73143323144,16858.47033668578,218899.20317381457,-131859.83576934435,461086.613176549,-22.635626567774864,13.789584987193445,66.83519323200605,-115.29996603678308,47.113842411277375,58297.73143323144,-82287.06706733431,252121.9048395391,-22.635626567774864,-72.27011569545758,26.95508628106873
ppo_bayeslvr,6,-14542.343905641814,16305.2387369489,86499.73276029076,-131859.83576934435,79644.37294700397,-23.63944563289117,9.48129788437318,66.39454548439744,-115.29996603678308,47.4380498881452,-14542.343905641814,-82471.47760057994,49957.09750861456,-23.63944563289117,-73.70621139639766,25.716910255479675
ppo_extended_action,6,-64331.93429034357,-64782.19888425118,67529.71139350825,-131859.83576934435,3911.517273306442,-55.02370468401617,-56.23788397047217,60.29521579427158,-115.29996603678308,7.636688120856046,-64331.93429034357,-109500.6234743133,-18997.065140695926,-55.02370468401617,-95.61260534801278,-13.56772500664727
