model,original_reward_mean,original_reward_std,original_reward_median,shuffled_reward_mean,shuffled_reward_std,shuffled_reward_median,delta_reward_mean,delta_reward_std,delta_reward_median,original_sharpe_mean,original_sharpe_std,original_sharpe_median,shuffled_sharpe_mean,shuffled_sharpe_std,shuffled_sharpe_median,delta_sharpe_mean,delta_sharpe_std,delta_sharpe_median
ppo_bayeslvr,-14542.343905641814,94755.70970195973,16305.2387369489,-14542.343905641814,94755.70970195973,16305.2387369489,0.0,0.0,0.0,-23.63944563289117,72.73158051421449,9.48129788437318,-23.63944563289117,72.73158051421449,9.48129788437318,0.0,0.0,0.0
ppo_bayeslvr_attention,68258.31300669447,103043.84206868144,9658.444170181501,65644.67663596556,94232.59933511303,10975.774827578542,-2613.6363707289024,14009.95739438943,-33.56064385101354,13.965685172625498,9.148120128924308,9.944768307053616,13.534334891463788,8.95365782196018,10.987537281378827,-0.4313502811617102,1.7084590035071672,-0.17984060145980552
ppo_bayeslvr_gated,58297.73143323144,239792.06279640936,16858.47033668578,58256.064766601696,239803.15253188604,16733.47033679655,-41.66666662974376,102.06207252552348,0.0,-22.635626567774864,73.21428593677264,13.789584987193445,-22.82245729110805,73.10449473103915,13.229092817193886,-0.18683072333318643,0.457639940441402,0.0
