model,dropped_feature,ablated_reward_mean,ablated_reward_std,ablated_reward_median,delta_reward_mean,delta_reward_std,delta_reward_median,ablated_sharpe_mean,ablated_sharpe_std,ablated_sharpe_median,delta_sharpe_mean,delta_sharpe_std,delta_sharpe_median
ppo_bayeslvr,ci90_lvr_width,-14542.343905641814,94755.70970195973,16305.2387369489,0.0,0.0,0.0,-23.63944563289117,72.73158051421449,9.48129788437318,0.0,0.0,0.0
ppo_bayeslvr,expected_lvr_next,-14542.343905641814,94755.70970195973,16305.2387369489,0.0,0.0,0.0,-23.63944563289117,72.73158051421449,9.48129788437318,0.0,0.0,0.0
ppo_bayeslvr,posterior_vol_mean,-14542.343905641814,94755.70970195973,16305.2387369489,0.0,0.0,0.0,-23.63944563289117,72.73158051421449,9.48129788437318,0.0,0.0,0.0
ppo_bayeslvr,posterior_vol_var,-14542.343905641814,94755.70970195973,16305.2387369489,0.0,0.0,0.0,-23.63944563289117,72.73158051421449,9.48129788437318,0.0,0.0,0.0
ppo_bayeslvr,var_lvr_next,-14542.343905641814,94755.70970195973,16305.2387369489,0.0,0.0,0.0,-23.63944563289117,72.73158051421449,9.48129788437318,0.0,0.0,0.0
ppo_bayeslvr_attention,ci90_lvr_width,69972.41949912347,104655.51701185577,9228.626171765483,1714.1064924290065,4734.334945874437,-8.92145104729616,13.196277528239122,9.01564332798517,9.478166230707536,-0.7694076443863761,1.0510371889040253,-0.3748945777652768
ppo_bayeslvr_attention,expected_lvr_next,68422.28353427288,102940.6293051241,10151.262897912846,163.9705275784181,402.5335965538955,0.0,14.138804015015547,9.13778507361089,10.370986254481558,0.17311884239004804,0.3410352865735472,0.0
ppo_bayeslvr_attention,posterior_vol_mean,63315.85514470233,92660.14060893588,9658.444170181501,-4942.457861992142,12112.75351403391,0.0,13.918685644347223,9.052782979258579,9.944768307053616,-0.046999528278276394,0.11614234260057982,0.0
ppo_bayeslvr_attention,posterior_vol_var,68290.00175591563,103111.61554120899,9658.444170181501,31.68874922116326,77.62126617886783,0.0,13.969651107489256,9.15615282574913,9.944768307053616,0.003965934863755294,0.009714516769314794,0.0
ppo_bayeslvr_attention,var_lvr_next,68349.07964843136,103036.95223609259,9872.649731200201,90.76664173689551,170.10215392084012,7.197658163466258,14.025763452562828,9.13624548455796,10.11749325431276,0.060078279937327395,0.1398894511937852,0.0011746240375334338
ppo_bayeslvr_gated,ci90_lvr_width,58256.064766601696,239803.15253188604,16733.47033679655,-41.66666662974376,102.06207252552348,0.0,-22.82245729110805,73.10449473103915,13.229092817193886,-0.18683072333318643,0.457639940441402,0.0
ppo_bayeslvr_gated,expected_lvr_next,58297.73143323144,239792.06279640936,16858.47033668578,0.0,0.0,0.0,-22.635626567774864,73.21428593677264,13.789584987193445,0.0,0.0,0.0
ppo_bayeslvr_gated,posterior_vol_mean,58297.73143323144,239792.06279640936,16858.47033668578,0.0,0.0,0.0,-22.635626567774864,73.21428593677264,13.789584987193445,0.0,0.0,0.0
ppo_bayeslvr_gated,posterior_vol_var,58297.73143323144,239792.06279640936,16858.47033668578,0.0,0.0,0.0,-22.635626567774864,73.21428593677264,13.789584987193445,0.0,0.0,0.0
ppo_bayeslvr_gated,var_lvr_next,58297.73143323144,239792.06279640936,16858.47033668578,0.0,0.0,0.0,-22.635626567774864,73.21428593677264,13.789584987193445,0.0,0.0,0.0
