model,seed,window_id,dropped_feature,original_reward,ablated_reward,delta_reward,original_sharpe,ablated_sharpe,delta_sharpe
ppo_bayeslvr,7,0,ci90_lvr_width,4109.59411458679,4109.59411458679,0.0,5.041681945035579,5.041681945035579,0.0
ppo_bayeslvr,7,1,ci90_lvr_width,82216.64215751529,82216.64215751529,0.0,18.183373074524603,18.183373074524603,0.0
ppo_bayeslvr,17,0,ci90_lvr_width,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr,17,1,ci90_lvr_width,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,29,0,ci90_lvr_width,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr,29,1,ci90_lvr_width,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,7,0,expected_lvr_next,4109.59411458679,4109.59411458679,0.0,5.041681945035579,5.041681945035579,0.0
ppo_bayeslvr,7,1,expected_lvr_next,82216.64215751529,82216.64215751529,0.0,18.183373074524603,18.183373074524603,0.0
ppo_bayeslvr,17,0,expected_lvr_next,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr,17,1,expected_lvr_next,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,29,0,expected_lvr_next,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr,29,1,expected_lvr_next,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,7,0,posterior_vol_mean,4109.59411458679,4109.59411458679,0.0,5.041681945035579,5.041681945035579,0.0
ppo_bayeslvr,7,1,posterior_vol_mean,82216.64215751529,82216.64215751529,0.0,18.183373074524603,18.183373074524603,0.0
ppo_bayeslvr,17,0,posterior_vol_mean,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr,17,1,posterior_vol_mean,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,29,0,posterior_vol_mean,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr,29,1,posterior_vol_mean,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,7,0,posterior_vol_var,4109.59411458679,4109.59411458679,0.0,5.041681945035579,5.041681945035579,0.0
ppo_bayeslvr,7,1,posterior_vol_var,82216.64215751529,82216.64215751529,0.0,18.183373074524603,18.183373074524603,0.0
ppo_bayeslvr,17,0,posterior_vol_var,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr,17,1,posterior_vol_var,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,29,0,posterior_vol_var,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr,29,1,posterior_vol_var,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,7,0,var_lvr_next,4109.59411458679,4109.59411458679,0.0,5.041681945035579,5.041681945035579,0.0
ppo_bayeslvr,7,1,var_lvr_next,82216.64215751529,82216.64215751529,0.0,18.183373074524603,18.183373074524603,0.0
ppo_bayeslvr,17,0,var_lvr_next,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr,17,1,var_lvr_next,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,29,0,var_lvr_next,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
