model,seed,window_id,split_type,regime,n_steps,sigma_low,sigma_high,cumulative_reward,avg_step_reward,median_step_reward,sharpe_ratio,width_mean,width_median,width_std,action_distribution
ppo_baseline,7,0,median,high,415,0.0076104117815991865,0.01560724332873508,6682.740023998744,16.102988009635528,-147.77653292352448,2.7887761450605275,10.0,10.0,0.0,"{""0"": 415}"
ppo_baseline,7,0,median,low,415,0.003904311458280414,0.0075938423613455455,54955.74844942601,132.42349023958076,-59.41853956764126,27.73109480186646,10.0,10.0,0.0,"{""0"": 415}"
ppo_baseline,7,0,quartile,q1,208,0.003904311458280414,0.005805996237166947,41831.0156729635,201.11065227386297,-49.6461425869855,41.08182193986625,10.0,10.0,0.0,"{""0"": 208}"
ppo_baseline,7,0,quartile,q2,207,0.005808011775348807,0.0075938423613455455,13124.73277646251,63.404506166485554,-77.3719296431156,13.986253788285456,10.0,10.0,0.0,"{""0"": 207}"
ppo_baseline,7,0,quartile,q3,207,0.0076104117815991865,0.009129738529571883,1159.9784299410621,5.603760531116242,-131.9368226069779,1.0548442330787742,10.0,10.0,0.0,"{""0"": 207}"
ppo_baseline,7,0,quartile,q4,208,0.00913035040892261,0.01560724332873508,5522.761594057683,26.551738432969632,-190.2635177193281,4.284109043362242,10.0,10.0,0.0,"{""0"": 208}"
ppo_baseline,7,1,median,high,415,0.00877686518307358,0.020503009953609787,-97240.54630386306,-234.31456940689893,-196.68213890594436,-195.37996718055135,10.0,10.0,0.0,"{""0"": 415}"
ppo_baseline,7,1,median,low,415,0.005260547759978775,0.00877464812492682,-34619.2894654813,-83.41997461561759,-93.09571657341476,-81.05810834437972,10.0,10.0,0.0,"{""0"": 415}"
ppo_baseline,7,1,quartile,q1,208,0.005260547759978775,0.0076527614776512485,-12808.322926089151,-61.57847560619784,-77.07257257576838,-43.58875241026393,10.0,10.0,0.0,"{""0"": 208}"
ppo_baseline,7,1,quartile,q2,207,0.00765609430405071,0.00877464812492682,-21810.966539392142,-105.36698811300552,-103.95327470062615,-1159.6599200240464,10.0,10.0,0.0,"{""0"": 207}"
ppo_baseline,7,1,quartile,q3,207,0.00877686518307358,0.011221973722211651,-30090.54676096571,-145.36496019790198,-139.94172379812582,-627.0697741906795,10.0,10.0,0.0,"{""0"": 207}"
